nom,nature,adresse,code_postal,commune,the_geom
Collège Honoré de Balzac,COLLEGE,56 rue Ernest Renan ,69694,Vénissieux,POINT (4.8617216227416336 45.726121166962635)
Collège Laurent Mourguet,COLLEGE,3 bis rue jean rigaud ,69130,Écully,POINT (4.785587497662909 45.78199946893357)
Collège les Quatre Vents,COLLEGE,326 avenue du 11 Novembre BP 115 ,69593,L'Arbresle,POINT (4.607994864735114 45.83167177184721)
Collège Lucie Aubrac,COLLEGE,5 rue de Dobëln ,69700,Givors,POINT (4.769111417293747 45.60013087271504)
Collège le Plan du Loup,COLLEGE,35 allée Alban Vistel ,69110,Sainte-Foy-lès-Lyon,POINT (4.789657248014452 45.733299731900026)
Collège Maryse Bastié,COLLEGE,107 rue Emile Zola ,69150,Décines-Charpieu,POINT (4.952261032820869 45.76416082608698)
Collège Jacques Prévert,COLLEGE,1060 Avenue Burago Di Molgora ,69360,Saint-Symphorien-d'Ozon,POINT (4.861700972134797 45.63387372937077)
Collège Colette,COLLEGE,23 rue Colette ,69800,Saint-Priest,POINT (4.943514397624188 45.68965691972526)
Collège Maria Casarès,COLLEGE,115 rue Ampère ,69140,Rillieux-la-Pape,POINT (4.900112619036367 45.81816139482481)
Collège Léonard de Vinci,COLLEGE,34 boulevard du Raquin ,69680,Chassieu,POINT (4.9790358349086326 45.740954266537024)
Collège Faubert,COLLEGE,3 place Faubert ,69400,Villefranche-sur-Saône,POINT (4.72176251521499 45.99108692898481)
